project_id,bim360_account_id,service,status,created_at
e8cd7af3-1b00-4bf3-ae5c-729a19eab48d,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-05-19 15:48:42.585159
2f22d1dc-8569-4e32-83f2-c2ac7cd83c55,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-05-11 19:36:22.27274
e744d4c7-5159-41ed-87c9-6e09795157fd,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-05-20 13:56:10.557651
e744d4c7-5159-41ed-87c9-6e09795157fd,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-05-20 13:57:14.997
8f6310be-9858-448f-a355-f4295cad1ea6,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-07-28 20:53:44.513
8f6310be-9858-448f-a355-f4295cad1ea6,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-07-28 20:53:06.226101
feca6ae3-7926-475b-8e1d-529cffbe3f92,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-10-01 14:56:10.285
08941358-cb24-41cb-93fa-501acce5e184,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-06-10 17:12:33.351
08941358-cb24-41cb-93fa-501acce5e184,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-06-10 17:12:11.667679
15f48bc6-8107-48bb-9dc3-48cf2d4b1d71,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-06-10 17:31:02.177
15f48bc6-8107-48bb-9dc3-48cf2d4b1d71,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-06-10 17:31:02.179
15f48bc6-8107-48bb-9dc3-48cf2d4b1d71,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-06-10 17:30:42.755528
14b6fa96-af3a-41ba-99a9-a88053bb4cd7,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-08-26 16:09:35.934
14b6fa96-af3a-41ba-99a9-a88053bb4cd7,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-08-26 16:09:13.650968
5366ea1e-2076-481a-adf1-776e1873e5e6,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-08-14 12:31:55.696
5366ea1e-2076-481a-adf1-776e1873e5e6,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-08-14 12:31:30.036322
2452677a-32c2-407e-9ecf-3a454afc0e5b,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-08-26 16:15:02.715
2452677a-32c2-407e-9ecf-3a454afc0e5b,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-08-26 16:14:45.916259
26fa60cf-ed6b-466c-b031-276694ee0fd2,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-12-14 13:26:09.536
feca6ae3-7926-475b-8e1d-529cffbe3f92,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-10-01 14:55:52.876113
048c16f4-edaa-4b76-9ff5-8bad1e2e67ea,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-12-18 15:47:44.747
048c16f4-edaa-4b76-9ff5-8bad1e2e67ea,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-12-18 15:47:26.102216
b734f33d-3597-412f-a1f9-e83d526590c8,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-12-22 13:08:00.148
b734f33d-3597-412f-a1f9-e83d526590c8,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-12-22 13:07:19.183625
f1594302-5834-4a27-ac73-227b859ad755,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-12-22 13:15:17.315
b484abb5-45e5-4822-9622-c9ad0d7718d3,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-02-23 16:12:36.488
6c12f2a6-d227-4c2c-a0ad-57caa61bd8a4,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-02-03 18:40:58.737315
a53730df-a1f6-4cfe-b5e2-fd1eab55d3e9,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-08-19 17:06:35.959054
1022c35c-a7a2-4aba-a4be-bd4847dc28fa,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-01-29 13:40:59.926512
1022c35c-a7a2-4aba-a4be-bd4847dc28fa,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-01-29 13:42:03.521674
fa94a3ff-b3e5-4328-abac-f04b12762ef2,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-10-05 15:00:31.538112
7915a407-01f3-4128-9475-8bad92850605,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-01-23 13:22:39.462228
7915a407-01f3-4128-9475-8bad92850605,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-01-23 13:22:22.752845
4152945c-924d-4a9f-b56a-d4d1b5336b59,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-10-05 14:50:33.68979
03ae5abc-b7f4-4a92-87de-f27977c9908d,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-10-05 14:56:09.786
03ae5abc-b7f4-4a92-87de-f27977c9908d,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-10-05 14:55:55.908447
a3c1c046-82ee-41b2-ad61-63ec88e827a7,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-10-05 15:19:26.230983
96cc8f7f-95cc-44b2-a3da-25af66c58da6,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-03-11 15:11:15.360045
9ce95506-095c-4ce1-b882-b726230c86c3,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-02-16 15:53:01.672669
59bc4d32-480a-466b-9885-5ab9de463ea2,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-02-17 15:44:16.919911
155855b5-87db-456f-b671-35879aa276db,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-02-16 16:43:07.681471
b484abb5-45e5-4822-9622-c9ad0d7718d3,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-02-23 16:12:17.766909
1022c35c-a7a2-4aba-a4be-bd4847dc28fa,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-01-29 13:40:15.733298
03f9dbb4-5148-4bcf-b1a9-425245cf7013,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-10-11 20:43:44.37982
8d90ac7e-9db5-405a-9df1-e1bcc61b708c,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-10-11 14:27:36.325459
ba37214b-fc73-4686-a4a8-8a23541776e5,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-12-03 14:22:51.581289
91ca8d46-ec91-473a-a8da-1de9893fbc1b,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-02-25 20:30:07.306355
ff408b5e-5acf-4491-acc3-e230353358cc,956c9a49-bc6e-4459-b873-d9ecea0600cb,projectManagement,archived,2023-08-21 14:02:13.047
14646f8b-1a41-495c-956a-a8945e57caff,956c9a49-bc6e-4459-b873-d9ecea0600cb,field,archived,2023-08-21 14:03:20.955
422b7202-4892-479f-bb93-576384485977,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-03-12 19:34:54.90375
c42a9895-6dd8-4c6b-977f-5053995195d4,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-03-16 13:27:03.3172
c42a9895-6dd8-4c6b-977f-5053995195d4,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-03-16 13:27:27.188
8b2b9c23-5380-48a8-aaa5-5c54b7c1a621,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-07-22 17:41:39.366721
f974130c-4c06-4d28-8ede-dc2d2a3635bf,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-11-08 13:22:40.243309
a2444e93-588f-4144-b4af-c59c3f8e0a36,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-03-31 13:48:14.280419
0443f669-8d53-44d5-bc8b-b0743682f759,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-04-02 18:49:38.945
0443f669-8d53-44d5-bc8b-b0743682f759,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-04-02 18:49:10.54191
ec6d1f47-e285-42b6-91fc-8c62204ebe73,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-11-11 12:57:56.518713
65efe83c-465a-4651-af09-1de46086e6dc,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2019-11-25 20:58:50.651546
b75bc8e5-12ad-4914-b370-49854f879b7d,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-04-06 17:14:20.660396
daaa935a-b248-47c3-a9b0-af144adbe602,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-04-07 16:38:54.461275
144b0d9e-7ae2-45bb-9a4f-d03c655db66c,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-04-27 17:44:18.844345
4aa1211e-7aa8-4877-8498-5870e48f5adb,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-04-27 18:20:58.971
